time,yaw,pitch,roll
2023-04-27 13:37:18.0710,0.89,-3.475,-3.46
2023-04-27 13:37:18.1720,0.823,-2.772,-2.82
2023-04-27 13:37:18.2730,0.774,-2.63,-3.041
2023-04-27 13:37:18.3740,0.745,-2.618,-3.135
2023-04-27 13:37:18.4740,0.744,-2.731,-3.296
2023-04-27 13:37:18.5750,0.739,-2.688,-3.299
2023-04-27 13:37:18.6760,0.799,-2.68,-2.95
2023-04-27 13:37:18.7770,0.787,-2.352,-2.853
2023-04-27 13:37:18.8780,0.906,-1.589,-2.093
2023-04-27 13:37:18.9790,0.941,-0.977,-1.583
2023-04-27 13:37:19.0790,1.014,-0.336,-0.905
2023-04-27 13:37:19.1800,1.035,0.61,-0.06
2023-04-27 13:37:19.2810,1.13,1.07,0.301
2023-04-27 13:37:19.3820,1.279,1.473,0.426
2023-04-27 13:37:19.4820,1.297,1.565,0.596
2023-04-27 13:37:19.5830,1.29,1.564,0.632
2023-04-27 13:37:19.6840,1.307,1.589,0.64
2023-04-27 13:37:19.7850,1.297,1.582,0.649
2023-04-27 13:37:19.8860,1.312,1.502,0.48
2023-04-27 13:37:19.9860,1.298,1.475,0.478
2023-04-27 13:37:20.0870,1.3,1.475,0.485
2023-04-27 13:37:20.1880,1.276,1.349,0.215
2023-04-27 13:37:20.2900,1.267,1.276,-0.024
2023-04-27 13:37:20.3900,1.281,1.22,-0.17
2023-04-27 13:37:20.4900,1.3,1.157,-0.316
2023-04-27 13:37:20.5910,1.292,1.111,-0.483
2023-04-27 13:37:20.6920,1.35,0.626,-1.484
2023-04-27 13:37:20.7930,1.424,-0.159,-2.903
2023-04-27 13:37:20.8940,1.508,-1.508,-6.068
2023-04-27 13:37:20.9940,1.378,-1.469,-7.888
2023-04-27 13:37:21.0950,1.395,-1.127,-9.152
2023-04-27 13:37:21.1970,1.523,1.336,-2.47
2023-04-27 13:37:21.2970,1.585,8.639,3.528
2023-04-27 13:37:21.3980,1.42,15.225,6.137
2023-04-27 13:37:21.4980,1.178,17.662,6.722
2023-04-27 13:37:21.5990,0.996,19.653,8.677
2023-04-27 13:37:21.7000,0.825,21.65,8.828
2023-04-27 13:37:21.8010,0.457,23.025,9.287
2023-04-27 13:37:21.9020,0.315,22.721,8.526
2023-04-27 13:37:22.0030,0.21,23.006,9.063
2023-04-27 13:37:22.1040,0.169,22.941,10.231
