timestamp,latitude,longitude
1681668453.890287,45.38072330881411,12.044331422086845
1681668454.886642,45.38072393745685,12.044348102074157
1681668455.890428,45.38071471736336,12.044326728221069
1681668456.9998398,45.380710316864196,12.044345252227078
1681668457.9998605,45.3807195788672,12.04433703796197
1681668458.9998803,45.38072594911361,12.044325973849784
1681668459.999908,45.380735420664195,12.04432580621172
1681668460.9999392,45.38073336709792,12.044327398773323
1681668461.999959,45.3807351692071,12.044334774848114
1681668462.9999862,45.38074405402446,12.044337876152287
1681668464.0000203,45.38074405402472,12.044337876152287
1681668465.000043,45.38074007262071,12.044340306904209
1681668466.000076,45.38074250337263,12.044343324389349
1681668467.0000997,45.38074015643974,12.044350951921237
1681668468.0001173,45.380742293825044,12.044358327996024
1681668469.000143,45.380743676839074,12.044358411815058
1681668470.0001683,45.3807458561339,12.044356316339265
1681668471.000182,45.3807453113102,12.044353801768311
1681668472.000194,45.380738794500594,12.044346018495347
1681668473.0002065,45.38073944397798,12.044342737656125
1681668474.0002189,45.38073806096395,12.044341145094522
1681668475.0002322,45.38073789332589,12.044340055447112
